Unnamed: 0,X,date,mes,weekday,margem,venda,desconto,outdesc,outmg
1.0,1.0,20140801.0,agosto,sexta-feira,0.406110543,110042.46,9190.907534,0.0,0.0
2.0,2.0,20140802.0,agosto,sabado,0.416021817,58377.32,5713.043012,0.0,0.0
3.0,3.0,20140803.0,agosto,domingo,0.431992818,64635.39,8621.708915,0.0,0.0
4.0,4.0,20140804.0,agosto,segunda-feira,0.409215922,140417.321,18312.96564,0.0,0.0
5.0,5.0,20140805.0,agosto,terca-feira,0.449647565,149700.286,19942.7413,0.0,0.0
6.0,6.0,20140806.0,agosto,quarta-feira,0.439396726,129662.053,17093.30621,0.0,0.0
7.0,7.0,20140807.0,agosto,quinta-feira,0.429216062,133359.232,14588.31925,0.0,0.0
8.0,8.0,20140808.0,agosto,sexta-feira,0.455002428,112071.1,16798.36804,0.0,0.0
9.0,9.0,20140809.0,agosto,sabado,0.449539824,111870.41,19037.23947,0.0,0.0
10.0,10.0,20140810.0,agosto,domingo,0.467541699,91762.2,16974.13009,0.0,0.0
11.0,11.0,20140811.0,agosto,segunda-feira,0.42526276,137730.94,13539.82921,0.0,0.0
12.0,12.0,20140812.0,agosto,terca-feira,0.42970555,128099.411,9243.775482,0.0,0.0
13.0,13.0,20140813.0,agosto,quarta-feira,0.437405242,118893.844,9872.581459,0.0,0.0
14.0,14.0,20140814.0,agosto,quinta-feira,0.456476041,123830.082,16036.50371,0.0,0.0
15.0,15.0,20140815.0,agosto,sexta-feira,0.441478855,128679.703,20632.06981,0.0,0.0
16.0,16.0,20140816.0,agosto,sabado,0.401704604,118325.24,12500.83054,0.0,0.0
17.0,17.0,20140817.0,agosto,domingo,0.420967483,123964.47,16093.65581,0.0,0.0
18.0,18.0,20140818.0,agosto,segunda-feira,0.418110568,150145.806,16165.99376,0.0,0.0
19.0,19.0,20140819.0,agosto,terca-feira,0.434901013,131380.592,16977.36543,0.0,0.0
20.0,20.0,20140820.0,agosto,quarta-feira,0.394251895,146732.435,14659.71538,0.0,0.0
21.0,21.0,20140821.0,agosto,quinta-feira,0.41238224,119766.519,15517.83692,0.0,0.0
22.0,22.0,20140822.0,agosto,sexta-feira,0.410868818,89935.341,10572.53386,0.0,0.0
23.0,23.0,20140823.0,agosto,sabado,0.410116185,75009.51,8076.136787,0.0,0.0
24.0,24.0,20140824.0,agosto,domingo,0.426820279,80499.27,12300.47343,0.0,0.0
25.0,25.0,20140825.0,agosto,segunda-feira,0.394198555,110725.561,8848.947597,0.0,0.0
26.0,26.0,20140826.0,agosto,terca-feira,0.37945537,107951.814,8302.761755,0.0,0.0
27.0,27.0,20140827.0,agosto,quarta-feira,0.377643445,118215.518,10459.51524,0.0,0.0
28.0,28.0,20140828.0,agosto,quinta-feira,0.399795443,125583.493,14655.09637,0.0,0.0
29.0,29.0,20140829.0,agosto,sexta-feira,0.445992885,100427.893,15146.16691,0.0,0.0
30.0,30.0,20140830.0,agosto,sabado,0.39644587,62930.311,6982.178979,0.0,0.0
31.0,31.0,20140831.0,agosto,domingo,0.427577067,58287.78,7238.729366,0.0,0.0
32.0,32.0,20140901.0,setembro,segunda-feira,0.378133131,83200.8,5636.335222,0.0,0.0
33.0,33.0,20140902.0,setembro,terca-feira,0.434358902,95449.441,10975.25997,0.0,0.0
34.0,34.0,20140903.0,setembro,quarta-feira,0.409208109,86219.96,7407.436157,0.0,0.0
35.0,35.0,20140904.0,setembro,quinta-feira,0.404937693,99481.0,8882.818775,0.0,0.0
36.0,36.0,20140905.0,setembro,sexta-feira,0.410920173,78161.402,8091.206437,0.0,0.0
37.0,37.0,20140906.0,setembro,sabado,0.434788608,47923.57,5140.924183,0.0,0.0
38.0,38.0,20140907.0,setembro,domingo,0.454363146,71299.95,8417.054183,0.0,0.0
39.0,39.0,20140908.0,setembro,segunda-feira,0.424794221,132714.348,10092.63725,0.0,0.0
40.0,40.0,20140909.0,setembro,terca-feira,0.419894986,116064.691,14924.58042,0.0,0.0
41.0,41.0,20140910.0,setembro,quarta-feira,0.437218398,106621.581,12263.11316,0.0,0.0
42.0,42.0,20140911.0,setembro,quinta-feira,0.436279136,112081.097,9970.126032,0.0,0.0
43.0,43.0,20140912.0,setembro,sexta-feira,0.428236025,83360.064,8355.289874,0.0,0.0
44.0,44.0,20140913.0,setembro,sabado,0.417382013,40549.12,2972.16777,0.0,0.0
45.0,45.0,20140914.0,setembro,domingo,0.447915244,55400.54,5079.430042,0.0,0.0
46.0,46.0,20140915.0,setembro,segunda-feira,0.447380723,125215.452,13178.06285,0.0,0.0
47.0,47.0,20140916.0,setembro,terca-feira,0.428349217,82578.812,8047.468174,0.0,0.0
48.0,48.0,20140917.0,setembro,quarta-feira,0.449510398,83361.636,11595.08334,0.0,0.0
49.0,49.0,20140918.0,setembro,quinta-feira,0.477227487,97541.166,18958.78539,0.0,0.0
50.0,50.0,20140919.0,setembro,sexta-feira,0.451735101,91881.56,14374.33536,0.0,0.0
51.0,51.0,20140920.0,setembro,sabado,0.470127148,56999.32,10093.6728,0.0,0.0
52.0,52.0,20140921.0,setembro,domingo,0.431191244,56654.0,6728.231547,0.0,0.0
53.0,53.0,20140922.0,setembro,segunda-feira,0.459462824,141308.308,25809.69223,1.0,0.0
54.0,54.0,20140923.0,setembro,terca-feira,0.459084725,116643.092,17835.11358,0.0,0.0
55.0,55.0,20140924.0,setembro,quarta-feira,0.470197891,109316.834,20670.26064,0.0,0.0
56.0,56.0,20140925.0,setembro,quinta-feira,0.420557769,89637.44,13836.99249,0.0,0.0
57.0,57.0,20140926.0,setembro,sexta-feira,0.43214112,73013.84,8151.970002,0.0,0.0
58.0,58.0,20140927.0,setembro,sabado,0.424202958,55986.72,9249.05578,0.0,0.0
59.0,59.0,20140928.0,setembro,domingo,0.418470899,79482.6,11118.38019,0.0,0.0
60.0,60.0,20140929.0,setembro,segunda-feira,0.435713301,140869.632,22132.10361,0.0,0.0
61.0,61.0,20140930.0,setembro,terca-feira,0.421733549,108458.83,14228.18295,0.0,0.0
62.0,62.0,20141001.0,outubro,quarta-feira,0.46765071,131995.2,21868.88528,0.0,0.0
63.0,63.0,20141002.0,outubro,quinta-feira,0.434896558,98759.118,12538.78786,0.0,0.0
