"Z","X","datavenda","mes","weekday","margem","venda","desconto","outdesc","outmg"
366,366,20210801,"agosto","sabado",0.433051916,NA,3315.19288,0,0
367,367,20210802,"agosto","domingo",0.437401408,NA,3631.24,0,0
368,368,20210803,"agosto","segunda-feira",0.416075195,NA,3753.040004,0,0
369,369,20210804,"agosto","terca-feira",0.385379138,NA,2523.500013,0,0
370,370,20210805,"agosto","quarta-feira",0.389125456,NA,5285.936265,0,0
371,371,20210806,"agosto","quinta-feira",0.371438327,NA,4415.98,0,0
372,372,20210807,"agosto","sexta-feira",0.418108988,NA,3803.310997,0,0
373,373,20210808,"agosto","sabado",0.372597177,NA,1764.178118,0,0
374,374,20210809,"agosto","domingo",0.41569024,NA,1712.85,0,0
375,375,20210810,"agosto","segunda-feira",0.42250359,NA,4604.669365,0,0
376,376,20210811,"agosto","terca-feira",0.375647889,NA,3511.194353,0,0
377,377,20210812,"agosto","quarta-feira",0.429712222,NA,3075.064353,0,0
378,378,20210813,"agosto","quinta-feira",0.51316469,NA,29074.58595,1,0
379,379,20210814,"agosto","sexta-feira",0.500685918,NA,16838.03812,0,0
380,380,20210815,"agosto","sabado",0.373812897,NA,874.53,0,0
381,381,20210816,"agosto","domingo",0.408430597,NA,1088.48247,0,0
382,382,20210817,"agosto","segunda-feira",0.437045354,NA,5499.72219,0,0
383,383,20210818,"agosto","terca-feira",0.396580041,NA,3129.898118,0,0
384,384,20210819,"agosto","quarta-feira",0.441320276,NA,6034.358118,0,0
385,385,20210820,"agosto","quinta-feira",0.370704892,NA,2384.578118,0,0
386,386,20210821,"agosto","sexta-feira",0.463645167,NA,5376.469365,0,0
387,387,20210822,"agosto","sabado",0.372723417,NA,611.05,0,0
388,388,20210823,"agosto","domingo",0.427289592,NA,2679.465955,0,0
389,389,20210824,"agosto","segunda-feira",0.412538962,NA,4317.2,0,0
390,390,20210825,"agosto","terca-feira",0.3896158,NA,988.06,0,0
391,391,20210826,"agosto","quarta-feira",0.400515874,NA,4353.41,0,0
392,392,20210827,"agosto","quinta-feira",0.45156239,NA,5846.133551,0,0
393,393,20210828,"agosto","sexta-feira",0.472608371,NA,2657.847261,0,0
394,394,20210829,"agosto","sabado",0.385612326,NA,269.53,0,0
395,395,20210830,"agosto","domingo",0.495614966,NA,3434.838118,0,0
396,396,20210831,"agosto","segunda-feira",0.391485976,NA,2122.636306,0,0
